Player ID,Player,Nationality,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,total_goals,total_assists,fatigue_level
270171,Vitaly Janelt,Germany,Brentford,Defensive Midfielder ,24,2022/23,76,Knee injury,2023-03-15,2023-04-06,22.0,2544.0,37.0,2.0,0.0,5.0,2.0,49.17
69633,Christian Eriksen,Denmark,Brentford,Central Midfielder,30,2021/22,81,Fitness,2022-01-31,2022-02-25,25.0,1320.0,22.0,2.0,0.0,4.0,0.0,25.51
319859,Mathias Jensen,Denmark,Brentford,Central Midfielder,26,2021/22,77,Leg injury,2021-07-07,2021-08-31,55.0,656.0,12.0,0.0,0.0,0.0,1.0,12.68
340321,Josh Dasilva,England,Brentford,Central Midfielder,23,2023/24,73,Hamstring injury,2023-08-19,2024-01-04,138.0,701.0,21.0,0.0,0.0,1.0,1.0,13.55
340321,Josh Dasilva,England,Brentford,Central Midfielder,23,2023/24,73,Ankle injury,2023-12-06,2024-03-30,115.0,701.0,21.0,0.0,0.0,1.0,1.0,13.55
340321,Josh Dasilva,England,Brentford,Central Midfielder,23,2023/24,73,Knee surgery,2024-02-05,2025-03-15,404.0,701.0,21.0,0.0,0.0,1.0,1.0,13.55
421637,Frank Onyeka,Nigeria,Brentford,Central Midfielder,24,2021/22,73,Ankle injury,2022-03-25,2022-05-16,52.0,1710.0,27.0,6.0,0.0,0.0,0.0,33.05
421637,Frank Onyeka,Nigeria,Brentford,Central Midfielder,25,2022/23,73,Thigh problems,2023-03-25,2023-04-09,15.0,620.0,16.0,1.0,0.0,0.0,1.0,11.98
413039,Bryan Mbeumo,Cameroon,Brentford,Right winger,22,2023/24,80,Ankle injury,2023-12-07,2024-03-12,96.0,3062.0,38.0,2.0,0.0,13.0,10.0,59.18
388165,Yoane Wissa,DR Congo,Brentford,Center Forward,25,2023/24,79,Ankle injury,2024-09-14,2024-11-30,77.0,2681.0,43.0,6.0,0.0,8.0,3.0,51.82
591949,Aaron Hickey,Scotland,Brentford,Right Back,21,2022/23,76,Ankle injury,2022-10-10,2022-12-31,82.0,2057.0,26.0,7.0,0.0,1.0,1.0,39.76
591949,Aaron Hickey,Scotland,Brentford,Right Back,22,2023/24,76,Hamstring injury,2023-11-02,2025-04-02,517.0,2059.0,28.0,8.0,0.0,0.0,1.0,39.8
473050,Kevin Schade,Germany,Brentford,Left winger,21,2023/24,72,Adductor injury,2023-09-23,2024-04-10,200.0,1070.0,25.0,2.0,0.0,1.0,1.0,20.68
540941,Mikkel Damsgaard,Denmark,Brentford,Left winger,22,2023/24,73,Knee surgery,2023-09-29,2023-12-05,67.0,1033.0,25.0,2.0,0.0,0.0,0.0,19.97
540941,Mikkel Damsgaard,Denmark,Brentford,Left winger,22,2023/24,73,Adductor pain,2023-08-26,2023-09-27,32.0,1033.0,25.0,2.0,0.0,0.0,0.0,19.97
644401,Keane Lewis-Potter,England,Brentford,Left winger,22,2022/23,73,Knee injury,2023-03-05,2023-05-02,58.0,285.0,7.0,0.0,0.0,0.0,1.0,5.51
644401,Keane Lewis-Potter,England,Brentford,Left winger,22,2022/23,73,Fitness,2022-10-11,2022-10-31,20.0,285.0,7.0,0.0,0.0,0.0,1.0,5.51
644401,Keane Lewis-Potter,England,Brentford,Left winger,22,2022/23,73,Ligament injury,2022-09-05,2022-10-10,35.0,285.0,7.0,0.0,0.0,0.0,1.0,5.51
125714,Mark Flekken,Netherlands,Brentford,Goalkeeper,31,2023/24,79,cold,2023-10-03,2023-10-19,16.0,3735.0,42.0,1.0,0.0,0.0,0.0,72.19
469050,Nathan Collins,Ireland,Brentford,Center Back,23,2023/24,75,Injury to the ankle,2023-11-18,2023-12-15,27.0,2072.0,30.0,2.0,0.0,1.0,1.0,40.05
469050,Nathan Collins,Ireland,Brentford,Center Back,23,2023/24,75,unknown injury,2024-05-17,2024-06-26,40.0,2072.0,30.0,2.0,0.0,1.0,1.0,40.05
378710,Richarlison,Brazil,Tottenham,Center Forward,27,2021/22,81,Calf injury,,2022-11-08,,3135.0,37.0,8.0,0.0,11.0,2.0,60.59
